,Year,Rank,Team,Pts,W,D,L,F,A
0,2022,1,Real Madrid,86,26,8,4,80,31
1,2022,2,Barcelona,73,21,10,7,68,38
2,2022,3,Atlético de Madrid,71,21,8,9,65,43
3,2022,4,Sevilla,70,18,16,4,53,30
4,2022,5,Betis,65,19,8,11,62,40
5,2022,6,Real Sociedad,62,17,11,10,40,37
6,2022,7,Villarreal,59,16,11,11,63,37
7,2022,8,Athletic Club,55,14,13,11,43,36
8,2022,9,Valencia,48,11,15,12,48,53
9,2022,10,Osasuna,47,12,11,15,37,51
10,2022,11,Celta de Vigo,46,12,10,16,43,43
11,2022,12,Rayo Vallecano,42,11,9,18,39,50
12,2022,13,Elche,42,11,9,18,40,52
13,2022,14,Espanyol,42,10,12,16,40,53
14,2022,15,Getafe,39,8,15,15,33,41
15,2022,16,Mallorca,39,10,9,19,36,63
16,2022,17,Cádiz,39,8,15,15,35,51
17,2022,18,Granada,38,8,14,16,44,61
18,2022,19,Levante,35,8,11,19,51,76
19,2022,20,Alavés,31,8,7,23,31,65
20,2021,1,Atlético de Madrid,86,26,8,4,67,25
21,2021,2,Real Madrid,84,25,9,4,67,28
22,2021,3,Barcelona,79,24,7,7,85,38
23,2021,4,Sevilla,77,24,5,9,53,33
24,2021,5,Real Sociedad,62,17,11,10,59,38
25,2021,6,Betis,61,17,10,11,50,50
26,2021,7,Villarreal,58,15,13,10,60,44
27,2021,8,Celta de Vigo,53,14,11,13,55,57
28,2021,9,Granada,46,13,7,18,47,65
29,2021,10,Athletic Club,46,11,13,14,46,42
30,2021,11,Osasuna,44,11,11,16,37,48
31,2021,12,Cádiz,44,11,11,16,36,58
32,2021,13,Valencia,43,10,13,15,50,53
33,2021,14,Levante,41,9,14,15,46,57
34,2021,15,Getafe,38,9,11,18,28,43
35,2021,16,Alavés,38,9,11,18,36,57
36,2021,17,Elche,36,8,12,18,34,55
37,2021,18,Huesca,34,7,13,18,34,53
38,2021,19,Valladolid,31,5,16,17,34,57
39,2021,20,Eibar,30,6,12,20,29,52
40,2020,1,Real Madrid,87,26,9,3,70,25
41,2020,2,Barcelona,82,25,7,6,86,38
42,2020,3,Atlético de Madrid,70,18,16,4,51,27
43,2020,4,Sevilla,70,19,13,6,54,34
44,2020,5,Villarreal,60,18,6,14,63,49
45,2020,6,Real Sociedad,56,16,8,14,56,48
46,2020,7,Granada,56,16,8,14,52,45
47,2020,8,Getafe,54,14,12,12,43,37
48,2020,9,Valencia,53,14,11,13,46,53
49,2020,10,Osasuna,52,13,13,12,46,54
50,2020,11,Athletic Club,51,13,12,13,41,38
51,2020,12,Levante,49,14,7,17,47,53
52,2020,13,Valladolid,42,9,15,14,32,43
53,2020,14,Eibar,42,11,9,18,39,56
54,2020,15,Betis,41,10,11,17,48,60
55,2020,16,Alavés,39,10,9,19,34,59
56,2020,17,Celta de Vigo,37,7,16,15,37,49
57,2020,18,Leganés,36,8,12,18,30,51
58,2020,19,Mallorca,33,9,6,23,40,65
59,2020,20,Espanyol,25,5,10,23,27,58
60,2019,1,Barcelona,87,26,9,3,90,36
61,2019,2,Atlético de Madrid,76,22,10,6,55,29
62,2019,3,Real Madrid,68,21,5,12,63,46
63,2019,4,Valencia,61,15,16,7,51,35
64,2019,5,Getafe,59,15,14,9,48,35
65,2019,6,Sevilla,59,17,8,13,62,47
66,2019,7,Espanyol,53,14,11,13,48,50
67,2019,8,Athletic Club,53,13,14,11,41,45
68,2019,9,Real Sociedad,50,13,11,14,45,46
69,2019,10,Betis,50,14,8,16,44,52
70,2019,11,Alavés,50,13,11,14,39,50
71,2019,12,Eibar,47,11,14,13,46,50
72,2019,13,Leganés,45,11,12,15,37,43
73,2019,14,Villarreal,44,10,14,14,49,52
74,2019,15,Levante,44,11,11,16,59,66
75,2019,16,Valladolid,41,10,11,17,32,51
